[object Uint8Array]Source page: http://www.woshipm.com/author/dr_se7en,
image_1_link,image_1_link/_alt,link_1,link_1/_text,link_1/_title,link_2,link_2/_text,link_2/_title,link_3,link_3/_text,link_3/_title,link_4,link_4/_text,link_4/_title,link_5,link_5/_text,link_5/_title,text_1,text_2,content_text,in_number
"http://image.woshipm.com/wp-files/2015/03/6533f88d03b114a22315b7ba512a8bf5.jpg","靠谱Uber，不靠谱Uber Beijing","http://www.woshipm.com/operate/143043.html","靠谱Uber，不靠谱Uber Beijing","靠谱Uber，不靠谱Uber Beijing","http://www.woshipm.com/operate/143043.html#respond","0","《靠谱Uber，不靠谱Uber Beijing》上的评论","http://www.woshipm.com/tag/uber","uber","","http://www.woshipm.com/tag/%e4%ba%a7%e5%93%81%e7%bb%8f%e7%90%86%e5%9f%b9%e8%ae%ad","产品经理培训","","http://www.woshipm.com/tag/%e7%a7%bb%e5%8a%a8%e4%ba%92%e8%81%94%e7%bd%91","移动互联网","","03/18","19:07","导读：昨天（3月17日），坊间流行消息：易到与Uber经过数月谈判已经在近期取得了突破性进展，易到与Uber可能即将合并。 我习惯于从团队来预测......","216"
"http://image.woshipm.com/wp-files/2015/03/02e9aaaa8c8b548616c47c304a0bdb47-180x134.jpg","十张图读懂BAT的移动互联网布局","http://www.woshipm.com/it/143027.html","十张图读懂BAT的移动互联网布局","十张图读懂BAT的移动互联网布局","http://www.woshipm.com/it/143027.html#respond","0","《十张图读懂BAT的移动互联网布局》上的评论","http://www.woshipm.com/tag/bat","BAT","","http://www.woshipm.com/tag/%e5%b8%83%e5%b1%80","布局","","http://www.woshipm.com/tag/%e7%a7%bb%e5%8a%a8%e4%ba%92%e8%81%94%e7%bd%91","移动互联网","","03/18","18:25","今年，李克强总理在政府报告中首次提出“互联网+”，一时间引起热议。据估计，中国移动互联网市场规模在2017年将接近6000亿，O2O领域正成为BAT激......","302"
"http://image.woshipm.com/wp-files/2015/03/324160432dc8ea5fa76f9c32c754340e-180x134.png","移动产业的未来不属于应用","http://www.woshipm.com/it/142972.html","移动产业的未来不属于应用","移动产业的未来不属于应用","http://www.woshipm.com/it/142972.html#respond","0","《移动产业的未来不属于应用》上的评论","http://www.woshipm.com/tag/%e5%ba%94%e7%94%a8","应用","","http://www.woshipm.com/tag/%e6%9c%aa%e6%9d%a5","未来","","http://www.woshipm.com/tag/%e7%a7%bb%e5%8a%a8%e4%ba%92%e8%81%94%e7%bd%91","移动互联网","","03/18","11:10","Web 的前景告诉我们准备好基于推送的未来。据一位知名人士表示，我们所知道的 Web 将要从根本上发生改变。 WordPress 可能会成为将近四分之一......","805"
"http://image.woshipm.com/wp-files/2014/11/weibo-180x134.jpg","再解密微博营销对90后大学生，究竟有什么影响？","http://www.woshipm.com/operate/142966.html","再解密微博营销对90后大学生，究竟有什么影","再解密微博营销对90后大学生，究竟有什么影响？","http://www.woshipm.com/operate/142966.html#respond","0","《再解密微博营销对90后大学生，究竟有什么影响？》上的评论","http://www.woshipm.com/tag/90%e5%90%8e","90后","","http://www.woshipm.com/tag/%e5%be%ae%e5%8d%9a","微博","","http://www.woshipm.com/tag/%e5%be%ae%e5%8d%9a%e8%90%a5%e9%94%80","微博营销","","03/18","10:53","从数据上来看，90后大学生参与过微博营销活动的比例较高，达到54.8%，微博营销在促进他们二次信息收集、二次传播和购买行为等方面的作用明显。......","685"
"http://image.woshipm.com/wp-files/2015/03/project_photos-files-000-017-211-17211-large-180x134.jpg","你的才能被埋没了没？10种埋没才能的生活方式","http://www.woshipm.com/pmd/142963.html","你的才能被埋没了没？10种埋没才能的生活方","你的才能被埋没了没？10种埋没才能的生活方式","http://www.woshipm.com/pmd/142963.html#respond","0","《你的才能被埋没了没？10种埋没才能的生活方式》上的评论","http://www.woshipm.com/tag/%e4%ba%8c%e5%85%ab%e5%8e%9f%e5%88%99","二八原则","","http://www.woshipm.com/tag/pmd","产品经理","","http://www.woshipm.com/tag/%e4%ba%a7%e5%93%81%e7%bb%8f%e7%90%86%e5%9f%b9%e8%ae%ad","产品经理培训","","03/18","10:30","你可知道，很多人一辈子也没发挥出他们真正潜能的0.1%这么多. 事实就是如此，人类的潜能是无限的。人脑不像电脑，大脑的“硬盘”永远不会不够用......","1209"
"http://image.woshipm.com/wp-files/2015/03/4ffce04d92a4d6cb21c1494cdfcd6dc138-180x134.jpg","当年我怎样2年内把贴贴数据做到超过猫扑大杂烩的？很多方法现在依然适用！","http://www.woshipm.com/operate/142957.html","当年我怎样2年内把贴贴数据做到超过猫扑大杂","当年我怎样2年内把贴贴数据做到超过猫扑大杂烩的？很多方法现在依然适用！","http://www.woshipm.com/operate/142957.html#respond","0","《当年我怎样2年内把贴贴数据做到超过猫扑大杂烩的？很多方法现在依然适用！》上的评论","http://www.woshipm.com/tag/%e4%b8%93%e6%a0%8f%e4%bd%9c%e5%ae%b6","专栏作家","","http://www.woshipm.com/tag/%e6%95%b0%e6%8d%ae%e5%88%86%e6%9e%90","数据分析","","http://www.woshipm.com/tag/%e7%b1%bb%e7%b1%bb","类类","","03/18","10:20","写这篇文章只是总结下那些年的得失，温故而知新，没别的意思。我本文提到的很多方法（不可能说全啊）对于现在做运营一定还是适用的，无论时代怎......","691"
"http://image.woshipm.com/wp-files/2015/03/4ffce04d92a4d6cb21c1494cdfcd6dc137-180x134.jpg","“斗转星移”和“六脉神剑”--一款好APP应该做到的事情","http://www.woshipm.com/pd/142951.html","“斗转星移”和“六脉神剑”--一款好APP","“斗转星移”和“六脉神剑”–一款好APP应该做到的事情","http://www.woshipm.com/pd/142951.html#respond","0","《“斗转星移”和“六脉神剑”–一款好APP应该做到的事情》上的评论","http://www.woshipm.com/tag/app","app","","http://www.woshipm.com/tag/%e4%ba%a7%e5%93%81%e8%ae%be%e8%ae%a1","产品设计","","http://www.woshipm.com/tag/%e6%8a%95%e7%a8%bf","投稿","","03/18","10:12","趋同性 翻看APP Store，每一个类别下都有着无数相似的应用，功能，风格，甚至连名字都异常相似。 这种现象，在昆虫学里叫做趋同性。 故事一开......","910"
"http://image.woshipm.com/wp-files/2015/03/20071203162744591-180x134.jpg","邻居：社交网络中被忽视的社会关系","http://www.woshipm.com/operate/142944.html","邻居：社交网络中被忽视的社会关系","邻居：社交网络中被忽视的社会关系","http://www.woshipm.com/operate/142944.html#respond","0","《邻居：社交网络中被忽视的社会关系》上的评论","http://www.woshipm.com/tag/%e6%8a%95%e7%a8%bf","投稿","","http://www.woshipm.com/tag/%e6%9b%be%e6%96%87%e9%97%bb","曾文闻","","http://www.woshipm.com/tag/%e7%a4%be%e4%ba%a4%e7%bd%91%e7%bb%9c","社交网络","","03/18","10:05","现在有很多人，一起住在一栋楼里，时不时打个照面，但不知道怎么称呼，虽然很想去认识，但是又担心唐突。这个时候的沉默并不是因为高冷，或许是......","622"
"http://image.woshipm.com/wp-files/2015/03/4ffce04d92a4d6cb21c1494cdfcd6dc136-180x134.jpg","浅入浅出—-关于功能和需求的增删改","http://www.woshipm.com/pd/142936.html","浅入浅出—-关于功能和需求的增删改","浅入浅出—-关于功能和需求的增删改","http://www.woshipm.com/pd/142936.html#respond","0","《浅入浅出—-关于功能和需求的增删改》上的评论","http://www.woshipm.com/tag/%e4%ba%a7%e5%93%81%e8%ae%be%e8%ae%a1","产品设计","","http://www.woshipm.com/tag/%e6%8a%95%e7%a8%bf","投稿","","http://www.woshipm.com/tag/%e9%9c%80%e6%b1%82%e5%88%86%e6%9e%90","需求分析","","03/18","9:45","需求分析，产品经理绕不过的第一个门槛 ——“我有一个价值十亿的idea，就差一个程序员了。” 这句话在创业圈火，在产品圈也是一样。每一个产品经......","973"
"http://image.woshipm.com/wp-files/2015/03/4ffce04d92a4d6cb21c1494cdfcd6dc128-180x134.jpg","我和猫扑女神的亲身经历，告诉你如何培养出一个社区的“灵魂”用户！","http://www.woshipm.com/operate/142914.html","我和猫扑女神的亲身经历，告诉你如何培养出","我和猫扑女神的亲身经历，告诉你如何培养出一个社区的“灵魂”用户！","http://www.woshipm.com/operate/142914.html#respond","0","《我和猫扑女神的亲身经历，告诉你如何培养出一个社区的“灵魂”用户！》上的评论","http://www.woshipm.com/tag/%e4%b8%93%e6%a0%8f%e4%bd%9c%e5%ae%b6","专栏作家","","http://www.woshipm.com/tag/%e7%a4%be%e5%8c%ba%e8%bf%90%e8%90%a5","社区运营","","http://www.woshipm.com/tag/%e7%b1%bb%e7%b1%bb","类类","","03/18","9:33","一个顶级社区，一定是“双灵魂”，即一定有两类“灵魂”人物。 一个是官方的灵魂，什么样的人可以成为灵魂？谁能真正把这个社区当成自己的“儿子”，......","744"
"http://image.woshipm.com/wp-files/2015/03/U519P4T8D4875286F107DT20130530145928-180x134.jpg","本周截止！互联网公司产品实习资讯大全","http://www.woshipm.com/job/142908.html","本周截止！互联网公司产品实习资讯大全","本周截止！互联网公司产品实习资讯大全","http://www.woshipm.com/job/142908.html#respond","0","《本周截止！互联网公司产品实习资讯大全》上的评论","http://www.woshipm.com/tag/pmd","产品经理","","http://www.woshipm.com/tag/%e4%ba%a7%e5%93%81%e7%bb%8f%e7%90%86%e6%8b%9b%e8%81%98","产品经理招聘","","http://www.woshipm.com/tag/%e5%ae%9e%e4%b9%a0","实习","","03/18","9:18","以下岗位主要针对暑期实习，亦有部分针对15届学生，请仔细辨别以免投递错误 阿里巴巴2016届实习生 岗位：技术、产品/运营、设计、市场商务等，......","840"
"http://image.woshipm.com/wp-files/2015/03/cfcd208495d565ef66e7dff9f98764da18-180x134.jpg","阿里巴巴数据产品经理工作(总结篇)","http://www.woshipm.com/pmd/142824.html","阿里巴巴数据产品经理工作(总结篇)","阿里巴巴数据产品经理工作(总结篇)","http://www.woshipm.com/pmd/142824.html#respond","0","《阿里巴巴数据产品经理工作(总结篇)》上的评论","http://www.woshipm.com/tag/pmd","产品经理","","http://www.woshipm.com/tag/%e6%95%b0%e6%8d%ae","数据","","http://www.woshipm.com/tag/%e9%98%bf%e9%87%8c%e5%b7%b4%e5%b7%b4","阿里巴巴","","03/17","14:59","PD（指产品经理，下同）本身就是在做牛做马，关系圈异常复杂。数据PD也不例外。而且打交道的人更多。以下是我用PPT绘制的数据产品经理关系圈。 ......","1918"
"http://image.woshipm.com/wp-files/2015/03/8ed2f9e120b2c67c9eb72765970a457b-180x134.jpg","以用户思维为导向，如何做一名优秀的电影产品经理","http://www.woshipm.com/pmd/142772.html","以用户思维为导向，如何做一名优秀的电影产","以用户思维为导向，如何做一名优秀的电影产品经理","http://www.woshipm.com/pmd/142772.html#respond","0","《以用户思维为导向，如何做一名优秀的电影产品经理》上的评论","http://www.woshipm.com/tag/pmd","产品经理","","http://www.woshipm.com/tag/%e4%ba%a7%e5%93%81%e8%bf%90%e8%90%a5","产品运营","","http://www.woshipm.com/tag/%e7%94%a8%e6%88%b7%e6%80%9d%e7%bb%b4","用户思维","","03/17","12:10","真正的产品经理是一个体系，一个团队，类似开发手游一样，以用户思维，以用户需求为导向。跟苹果和小米一样，洞察用户需求，研发出爆品，让用户......","1069"
"http://image.woshipm.com/wp-files/2015/03/85538f703ac522cc287bdc99b397c2f3-180x134.jpg","内容之死：2015网站运营之变局","http://www.woshipm.com/it/142768.html","内容之死：2015网站运营之变局","内容之死：2015网站运营之变局","http://www.woshipm.com/it/142768.html#respond","0","《内容之死：2015网站运营之变局》上的评论","http://www.woshipm.com/tag/2015","2015","","http://www.woshipm.com/tag/%e6%9c%aa%e6%9d%a5","未来","","http://www.woshipm.com/tag/%e7%bd%91%e7%ab%99%e8%bf%90%e8%90%a5","网站运营","","03/17","12:03","过去20年，网站运营奉行的金科玉律是——内容为王。 在移动互联网、大数据潮流奔腾而来的2015年，这个规则已经开始动摇。其中最为激烈的一个思想......","1743"
"http://image.woshipm.com/wp-files/2015/03/f645c1ec8216fe411cbbce27074acd81-180x134.png","那些过目不忘的H5页面","http://www.woshipm.com/ucd/142734.html","那些过目不忘的H5页面","那些过目不忘的H5页面","http://www.woshipm.com/ucd/142734.html#respond","0","《那些过目不忘的H5页面》上的评论","http://www.woshipm.com/tag/html","HTML","","http://www.woshipm.com/tag/%e4%ba%a7%e5%93%81%e8%ae%be%e8%ae%a1","产品设计","","http://www.woshipm.com/tag/%e7%bb%86%e8%8a%82","细节","","03/17","11:55","从引爆朋友圈的H5小游戏《围住神经猫》，到颠覆传统广告的大众点评H5专题页《我们之间只有一个字》，从2014下半年起，各种H5游戏和专题页纷纷......","2404"
"http://image.woshipm.com/wp-files/2015/01/需求-180x134.png","【需求分析】打车软件需求分析","http://www.woshipm.com/pd/142723.html","【需求分析】打车软件需求分析","【需求分析】打车软件需求分析","http://www.woshipm.com/pd/142723.html#respond","0","《【需求分析】打车软件需求分析》上的评论","http://www.woshipm.com/tag/%e6%8a%95%e7%a8%bf","投稿","","http://www.woshipm.com/tag/%e6%97%a0%e9%82%aa","无邪","","http://www.woshipm.com/tag/%e9%9c%80%e6%b1%82%e5%88%86%e6%9e%90","需求分析","","03/17","11:35","目前市面上的打车软件比较多，大致可以分为三类：的士，专车和拼车。从我个人角度，觉得的士打车是普遍需求，专车打车是小众需求，拼车打车是个......","1469"
"http://image.woshipm.com/wp-files/2015/03/viewfile-180x134.gif","互联网产品经理应该做什么？","http://www.woshipm.com/pmd/142713.html","互联网产品经理应该做什么？","互联网产品经理应该做什么？","http://www.woshipm.com/pmd/142713.html#respond","0","《互联网产品经理应该做什么？》上的评论","http://www.woshipm.com/tag/%e4%ba%92%e8%81%94%e7%bd%91","互联网","","http://www.woshipm.com/tag/pmd","产品经理","","http://www.woshipm.com/tag/%e6%8a%95%e7%a8%bf","投稿","","03/17","11:27","互联网产品经理应该做什么，我个人总结了一句话：“目标用户需求转化” 下面我们来听一下这句话怎么解释，先拆分成两个关键词来解释： 一、目标用......","1833"
"http://image.woshipm.com/wp-files/2015/03/f3c109721a0cd8d4358763787604f048-180x134.jpg","社交应用中的标签、话题，你想好了吗？","http://www.woshipm.com/operate/142709.html","社交应用中的标签、话题，你想好了吗？","社交应用中的标签、话题，你想好了吗？","http://www.woshipm.com/operate/142709.html#respond","0","《社交应用中的标签、话题，你想好了吗？》上的评论","http://www.woshipm.com/tag/%e4%ba%a7%e5%93%81%e8%bf%90%e8%90%a5","产品运营","","http://www.woshipm.com/tag/%e6%8a%95%e7%a8%bf","投稿","","http://www.woshipm.com/tag/%e7%a4%be%e4%ba%a4%e7%bd%91%e7%bb%9c","社交网络","","03/17","11:18","个人认为标签和话题是社交的两个维度，标签是用来把人聚起来，而话题则是把人留下来，有人来了，并且留下来了，那不就容易产生社交了吗？ 为什......","1017"
"http://image.woshipm.com/wp-files/2015/03/133751122_14145597060601n-180x134.jpg","【体验报告】阿里－去阿旅行的用户体验报告","http://www.woshipm.com/pd/142700.html","【体验报告】阿里－去阿旅行的用户体验报告","【体验报告】阿里－去阿旅行的用户体验报告","http://www.woshipm.com/pd/142700.html#respond","0","《【体验报告】阿里－去阿旅行的用户体验报告》上的评论","http://www.woshipm.com/tag/%e4%bd%93%e9%aa%8c%e6%8a%a5%e5%91%8a","体验报告","","http://www.woshipm.com/tag/%e6%8a%95%e7%a8%bf","投稿","","http://www.woshipm.com/tag/%e9%98%bf%e9%87%8c%e5%b7%b4%e5%b7%b4","阿里巴巴","","03/17","11:09","前言 概览： 产品名称：阿里去啊旅行 软件版本：5.3.0 体验人员：海峰 体验时间：2015/03/15 需求分析 2014年在线旅游的市场规模达到2800.7亿......","1361"
"http://image.woshipm.com/wp-files/2015/03/095e37a259653aa620b92f6d7c5bd2d8-180x134.jpeg","没落的人人网，是如何走向衰败的？","http://www.woshipm.com/operate/142687.html","没落的人人网，是如何走向衰败的？","没落的人人网，是如何走向衰败的？","http://www.woshipm.com/operate/142687.html#respond","0","《没落的人人网，是如何走向衰败的？》上的评论","http://www.woshipm.com/tag/%e4%ba%ba%e4%ba%ba%e7%bd%91","人人网","","http://www.woshipm.com/tag/%e6%8a%95%e7%a8%bf","投稿","","http://www.woshipm.com/tag/%e7%a4%be%e4%ba%a4%e7%bd%91%e7%bb%9c","社交网络","","03/17","10:48","写这篇文章是由于一个人的提问，并且人人网我自己用过很久，有幸见证它曾经的兴盛，也看到它现在的衰败。 由于人人网最近经历了一次改版，无法......","1317"
