[object Uint8Array]Source page: http://www.woshipm.com/category/pmd,
attachment_gallery180cc134_image,attachment_gallery180cc134_image/_alt,image_link_1,image_link_1/_text,image_link_1/_title,link_1,link_1/_text,link_1/_title,link_2,link_2/_text,link_2/_title,text_1,text_2,tag_text_list,content_text,in_number
"http://image.woshipm.com/wp-files/2015/03/9d7263e9daba221dcbe2f4e4d492d780-180x134.jpg","张小龙的产品观","http://www.woshipm.com/pmd/143102.html","","张小龙的产品观","http://www.woshipm.com/pmd/143102.html","张小龙的产品观","张小龙的产品观","http://www.woshipm.com/pmd/143102.html#respond","0","《张小龙的产品观》上的评论","03/19","0:21","PM; 张小龙","花了一整天的时间去了解张小龙，并且看了一些文章，还逛了很久的知乎。发现关于他的访谈和资料很多，但是很杂乱。于是我花了一点时间整理总结......","32"
"http://image.woshipm.com/wp-files/2015/03/捕获1-180x134.png","做产品的几点经验教训","http://www.woshipm.com/pmd/143073.html","","做产品的几点经验教训","http://www.woshipm.com/pmd/143073.html","做产品的几点经验教训","做产品的几点经验教训","http://www.woshipm.com/pmd/143073.html#respond","0","《做产品的几点经验教训》上的评论","03/18","22:56","产品体验; 教训","增哥点评：教训比成功的经验更加有意义，教训能让你明白哪些是坑。而成功的经验往往和当时的条件和环境有着莫大的关联，因时因地而异。文章中的......","121"
"http://image.woshipm.com/wp-files/2015/03/ts-180x134.png","跨界！转型！入门！起点学院“产品经理实战训练营”在七大城市开课啦！","http://www.woshipm.com/pmd/142976.html","","跨界！转型！入门！起点学院“产品经理实战训练营”在七大城市开课啦！","http://www.woshipm.com/pmd/142976.html","跨界！转型！入门！起点学院“产品经理实战","跨界！转型！入门！起点学院“产品经理实战训练营”在七大城市开课啦！","http://www.woshipm.com/pmd/142976.html#respond","0","《跨界！转型！入门！起点学院“产品经理实战训练营”在七大城市开课啦！》上的评论","03/18","15:05","产品经理; 产品经理培训; 起点学院","我是传统行业，我想跨界互联网；我是新人，我想入门产品经理；我是运营/开发，我想转行产品经理；我是创业者，我是产品经理。 但众人追捧的产品......","668"
"http://image.woshipm.com/wp-files/2015/03/project_photos-files-000-017-211-17211-large-180x134.jpg","你的才能被埋没了没？10种埋没才能的生活方式","http://www.woshipm.com/pmd/142963.html","","你的才能被埋没了没？10种埋没才能的生活方式","http://www.woshipm.com/pmd/142963.html","你的才能被埋没了没？10种埋没才能的生活方","你的才能被埋没了没？10种埋没才能的生活方式","http://www.woshipm.com/pmd/142963.html#respond","0","《你的才能被埋没了没？10种埋没才能的生活方式》上的评论","03/18","10:30","二八原则; 产品经理; 产品经理培训","你可知道，很多人一辈子也没发挥出他们真正潜能的0.1%这么多. 事实就是如此，人类的潜能是无限的。人脑不像电脑，大脑的“硬盘”永远不会不够用......","1204"
"http://image.woshipm.com/wp-files/2015/03/6402-180x134.png","派系之争太激烈，在线旅游业盈利状态不乐观","http://www.woshipm.com/pmd/142843.html","","派系之争太激烈，在线旅游业盈利状态不乐观","http://www.woshipm.com/pmd/142843.html","派系之争太激烈，在线旅游业盈利状态不乐观","派系之争太激烈，在线旅游业盈利状态不乐观","http://www.woshipm.com/pmd/142843.html#respond","0","《派系之争太激烈，在线旅游业盈利状态不乐观》上的评论","03/17","17:10","去哪儿; 同程; 旅游","小白叨一叨：在线旅游行业就存在着这样的派系：BATX，它们分别对应着百度系、阿里系、 腾讯系、 和携程。在观看它们之间让人眼花缭乱的战争之前......","849"
"http://image.woshipm.com/wp-files/2015/03/cfcd208495d565ef66e7dff9f98764da18-180x134.jpg","阿里巴巴数据产品经理工作(总结篇)","http://www.woshipm.com/pmd/142824.html","","阿里巴巴数据产品经理工作(总结篇)","http://www.woshipm.com/pmd/142824.html","阿里巴巴数据产品经理工作(总结篇)","阿里巴巴数据产品经理工作(总结篇)","http://www.woshipm.com/pmd/142824.html#respond","0","《阿里巴巴数据产品经理工作(总结篇)》上的评论","03/17","14:59","产品经理; 数据; 阿里巴巴","PD（指产品经理，下同）本身就是在做牛做马，关系圈异常复杂。数据PD也不例外。而且打交道的人更多。以下是我用PPT绘制的数据产品经理关系圈。 ......","1916"
"http://image.woshipm.com/wp-files/2015/03/8ed2f9e120b2c67c9eb72765970a457b-180x134.jpg","以用户思维为导向，如何做一名优秀的电影产品经理","http://www.woshipm.com/pmd/142772.html","","以用户思维为导向，如何做一名优秀的电影产品经理","http://www.woshipm.com/pmd/142772.html","以用户思维为导向，如何做一名优秀的电影产","以用户思维为导向，如何做一名优秀的电影产品经理","http://www.woshipm.com/pmd/142772.html#respond","0","《以用户思维为导向，如何做一名优秀的电影产品经理》上的评论","03/17","12:10","产品经理; 产品运营; 用户思维","真正的产品经理是一个体系，一个团队，类似开发手游一样，以用户思维，以用户需求为导向。跟苹果和小米一样，洞察用户需求，研发出爆品，让用户......","1068"
"http://image.woshipm.com/wp-files/2015/03/kaijianglapeitu-180x134.jpg","【开讲啦】第十二期：百度高级产品经理的自我修炼","http://www.woshipm.com/pmd/142686.html","","【开讲啦】第十二期：百度高级产品经理的自我修炼","http://www.woshipm.com/pmd/142686.html","【开讲啦】第十二期：百度高级产品经理的自","【开讲啦】第十二期：百度高级产品经理的自我修炼","http://www.woshipm.com/pmd/142686.html#respond","0","《【开讲啦】第十二期：百度高级产品经理的自我修炼》上的评论","03/17","11:27","开讲啦，无解肥产品; 百度高级产品经理","每天在q群都看到很多产品新人在问，怎么才能成为一个更好的产品经理？怎么才能对自己加产品特技？我们总是看到一些人随随便就做出一鸣惊人的好......","1754"
"http://image.woshipm.com/wp-files/2015/03/viewfile-180x134.gif","互联网产品经理应该做什么？","http://www.woshipm.com/pmd/142713.html","","互联网产品经理应该做什么？","http://www.woshipm.com/pmd/142713.html","互联网产品经理应该做什么？","互联网产品经理应该做什么？","http://www.woshipm.com/pmd/142713.html#respond","0","《互联网产品经理应该做什么？》上的评论","03/17","11:27","互联网; 产品经理; 投稿","互联网产品经理应该做什么，我个人总结了一句话：“目标用户需求转化” 下面我们来听一下这句话怎么解释，先拆分成两个关键词来解释： 一、目标用......","1833"
"http://image.woshipm.com/wp-files/2015/03/hangye-o2o20-180x134.jpg","干货：聊聊有关O2O的五点真相","http://www.woshipm.com/pmd/142688.html","","干货：聊聊有关O2O的五点真相","http://www.woshipm.com/pmd/142688.html","干货：聊聊有关O2O的五点真相","干货：聊聊有关O2O的五点真相","http://www.woshipm.com/pmd/142688.html#respond","0","《干货：聊聊有关O2O的五点真相》上的评论","03/17","10:52","O2O","【导读】产品经理其实最好还是了解一些宗教的哲学，比如道家所讲的“道生一，一生二，二生三，三生万物”。了解这个的目的在于我们能够穿透层层的......","1165"
"http://image.woshipm.com/wp-files/2015/03/Product_Signals-180x134.jpg","从前有个人想当产品经理，然后他死了。","http://www.woshipm.com/pmd/142677.html","","从前有个人想当产品经理，然后他死了。","http://www.woshipm.com/pmd/142677.html","从前有个人想当产品经理，然后他死了。","从前有个人想当产品经理，然后他死了。","http://www.woshipm.com/pmd/142677.html#respond","0","《从前有个人想当产品经理，然后他死了。》上的评论","03/17","10:26","产品经理; 产品经理培训; 职业生涯","从前从前，有个人还在学校的时候，他就想成为产品经理，说来也是机缘，他做了点东西上线Store后第一次接触到了真实的用户反馈，也第一次接触到......","1432"
"http://image.woshipm.com/wp-files/2015/03/8bc009612ce6eb9abf8493d9817a2906-180x134.jpg","未来互联网产品的诞生逻辑","http://www.woshipm.com/pmd/142624.html","","未来互联网产品的诞生逻辑","http://www.woshipm.com/pmd/142624.html","未来互联网产品的诞生逻辑","未来互联网产品的诞生逻辑","http://www.woshipm.com/pmd/142624.html#respond","0","《未来互联网产品的诞生逻辑》上的评论","03/17","9:50","互联网; 产品; 未来","11月24日百度百家联合了美国的奇点大学给大家送上了满满的一天的奇点大学的公开课，由奇点大学人工智能项目负责人，美国国防部及NASA顾问Neil J......","1037"
"http://image.woshipm.com/wp-files/2015/03/1594-ea1bdd745d0a37a7-180x134.jpeg","【PM必读】学习新东西的唯一方法","http://www.woshipm.com/pmd/142504.html","","【PM必读】学习新东西的唯一方法","http://www.woshipm.com/pmd/142504.html","【PM必读】学习新东西的唯一方法","【PM必读】学习新东西的唯一方法","http://www.woshipm.com/pmd/142504.html#respond","0","《【PM必读】学习新东西的唯一方法》上的评论","03/16","20:53","PM必读; 学习","增哥点评：不知从何时起，在信息泛滥的时代，我们学习看似容易，反倒变得困难了。渐渐地独立思考能力缺失，变成了一个“无心”人，流言也开始大肆......","1484"
"http://image.woshipm.com/wp-files/2015/03/5363a22df2d8ae5828ab6085f8b6f2a4-180x134.jpg","完美逆袭，看乞丐如何碾压产品经理","http://www.woshipm.com/pmd/142475.html","","完美逆袭，看乞丐如何碾压产品经理","http://www.woshipm.com/pmd/142475.html","完美逆袭，看乞丐如何碾压产品经理","完美逆袭，看乞丐如何碾压产品经理","http://www.woshipm.com/pmd/142475.html#respond","0","《完美逆袭，看乞丐如何碾压产品经理》上的评论","03/16","14:21","互联网思维; 产品经理; 市场分析","前两天，楼主在麦当劳遇到了一件奇葩的事情。当时，我在蹭空调，突然一个自称是聋哑的人向我乞讨，于是我大发慈悲地拿出一块钱想给他，结果人......","2050"
"http://image.woshipm.com/wp-files/2015/03/OneNeck-End-to-End-IT-Solutions-180x134.jpg","我们是否高估了科技？","http://www.woshipm.com/pmd/142363.html","","我们是否高估了科技？","http://www.woshipm.com/pmd/142363.html","我们是否高估了科技？","我们是否高估了科技？","http://www.woshipm.com/pmd/142363.html#respond","0","《我们是否高估了科技？》上的评论","03/16","11:04","专栏作家; 互联网; 可乐橙; 科技","身为从业人员，这么问多少有点大逆不道，不过这确实是我近来思考的一个问题。从工业革命到今天，科技确实大大刷新了我们对世界的认知。标准化生......","737"
"http://image.woshipm.com/wp-files/2015/03/0320-PICM-活动行-180x134.jpg","Duang，我今年打算买个表—香港大学上海开放日","http://www.woshipm.com/pmd/142319.html","","Duang，我今年打算买个表—香港大学上海开放日","http://www.woshipm.com/pmd/142319.html","Duang，我今年打算买个表—香港大学上海开","Duang，我今年打算买个表—香港大学上海开放日","http://www.woshipm.com/pmd/142319.html#respond","0","《Duang，我今年打算买个表—香港大学上海开放日》上的评论","03/16","10:18","PICM; 开放日; 港大","从上世纪70年代乔布斯和沃兹尼亚克成立苹果公司，就将“制造普通人能方便使用的电脑”作为梦想。并在11年后将这家公司打造为世界上最具活力的创......","868"
"http://image.woshipm.com/wp-files/2014/05/8yrjBHR4wqrzN1KpM0mjCWuzkPjYx0oT-180x134.jpg","产品经理5点工作经验总结","http://www.woshipm.com/pmd/142279.html","","产品经理5点工作经验总结","http://www.woshipm.com/pmd/142279.html","产品经理5点工作经验总结","产品经理5点工作经验总结","http://www.woshipm.com/pmd/142279.html#respond","0","《产品经理5点工作经验总结》上的评论","03/16","0:32","PM; 总结; 经验","根据自己在产品工作中碰到的问题做一个总结，期望这样的总结能成为自己更优秀的垫脚石。也许它们让一些人看来有些幼稚，但是每个人的成长都是......","1909"
"http://image.woshipm.com/wp-files/2015/03/bol3-621x414-180x134.jpg","【产品之夏】一个产品新人的实战练习（一）","http://www.woshipm.com/pmd/142270.html","","【产品之夏】一个产品新人的实战练习（一）","http://www.woshipm.com/pmd/142270.html","【产品之夏】一个产品新人的实战练习（一）","【产品之夏】一个产品新人的实战练习（一）","http://www.woshipm.com/pmd/142270.html#respond","0","《【产品之夏】一个产品新人的实战练习（一）》上的评论","03/15","21:28","产品之夏; 产品经理培训; 线上活动","春天是个开始，是复苏的时节。也是在这个时候，有幸参加了产品之夏第三期活动，希望借此活动打开我的PM之门。产品之夏第一周是在新奇、紧张、彷......","1542"
"http://image.woshipm.com/wp-files/2015/03/4ffce04d92a4d6cb21c1494cdfcd6dc124-180x134.jpg","产品新人：从职级体系看沟通能力的快速提升","http://www.woshipm.com/pmd/142263.html","","产品新人：从职级体系看沟通能力的快速提升","http://www.woshipm.com/pmd/142263.html","产品新人：从职级体系看沟通能力的快速提升","产品新人：从职级体系看沟通能力的快速提升","http://www.woshipm.com/pmd/142263.html#respond","0","《产品新人：从职级体系看沟通能力的快速提升》上的评论","03/15","21:08","产品经理; 产品经理培训; 职业生涯","这两天经历了我所料未及的多次沟通，和多位年轻的产品经理多次的沟通，了解了很多自己原来不曾注意的新人职场能力提升过程，所以才有了昨晚的感......","1106"
"http://image.woshipm.com/wp-files/2015/03/nl-180x134.jpg","真正的团队，必须要拍死这6大负能量","http://www.woshipm.com/pmd/142236.html","","真正的团队，必须要拍死这6大负能量","http://www.woshipm.com/pmd/142236.html","真正的团队，必须要拍死这6大负能量","真正的团队，必须要拍死这6大负能量","http://www.woshipm.com/pmd/142236.html#respond","0","《真正的团队，必须要拍死这6大负能量》上的评论","03/15","18:52","产品经理; 产品经理培训; 团队","谨记，拍死""负能量"，才能获得正能量，积极向上，共同进步! 1抱怨——杀伤力最大辐射面最广的负能量 团队里的"祥林嫂"可男可女，他们总爱数落工......","1240"
